id,title,artist,top genre,year,energy,danceability,liveness,acousticness,speechiness,pop
71,Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011,63,66,11,19,18,71
72,On The Floor,Jennifer Lopez,dance pop,2011,78,73,7,11,5,69
73,What's My Name?,Rihanna,barbadian pop,2011,79,69,8,23,7,69
74,Yeah 3x,Chris Brown,dance pop,2011,88,71,9,0,4,69
75,Without You (feat. Usher),David Guetta,dance pop,2011,61,61,16,23,3,68
76,Sexy And I Know It,LMFAO,dance pop,2011,86,71,19,10,32,67
77,The Edge Of Glory,Lady Gaga,dance pop,2011,77,58,11,0,4,67
78,E.T.,Katy Perry,dance pop,2011,87,62,37,2,18,66
79,Till the World Ends,Britney Spears,dance pop,2011,71,69,20,2,7,65
80,I Wanna Go,Britney Spears,dance pop,2011,55,70,33,0,4,64
81,Blow,Kesha,dance pop,2011,73,75,7,0,4,64
82,You And I,Lady Gaga,dance pop,2011,70,52,9,9,5,64
83,Judas,Lady Gaga,dance pop,2011,93,66,27,0,7,63
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,89,65,12,3,5,63
85,Please Don't Go,Mike Posner,dance pop,2011,88,70,13,0,3,63
86,We Found Love,Rihanna,barbadian pop,2011,77,73,11,3,4,61
87,Marry The Night,Lady Gaga,dance pop,2011,88,61,46,0,6,61
88,1+1,Beyoncé,dance pop,2011,38,30,7,38,3,60
89,Hold It Against Me,Britney Spears,dance pop,2011,72,65,24,1,4,59
90,I'm Into You,Jennifer Lopez,dance pop,2011,75,59,8,2,14,59
91,Papi,Jennifer Lopez,dance pop,2011,81,71,37,13,6,58
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,91,58,29,2,4,58
93,S&M Remix,Rihanna,barbadian pop,2011,81,82,5,5,5,54
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,95,64,18,6,7,52
95,Jar of Hearts,Christina Perri,dance pop,2011,35,35,12,73,3,50
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,86,45,26,7,39,49
97,Turning Page,Sleeping At Last,acoustic pop,2011,38,30,11,91,3,46
98,Super Bass,Nicki Minaj,dance pop,2011,74,77,40,6,23,38
99,Raise Your Glass,P!nk,dance pop,2011,64,68,12,0,12,38
100,Invading My Mind,Jennifer Lopez,dance pop,2011,88,73,32,2,7,31
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,88,50,22,39,38,28
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,81,65,67,0,4,27
103,Firework,Katy Perry,dance pop,2011,83,64,11,14,5,25
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,72,80,19,56,33,7
105,Titanium (feat. Sia),David Guetta,dance pop,2012,79,60,13,7,10,80
106,Locked Out of Heaven,Bruno Mars,pop,2012,70,73,31,5,4,79
107,Paradise,Coldplay,permanent wave,2012,59,45,8,5,3,79
108,Payphone,Maroon 5,pop,2012,75,74,29,2,4,79
109,What Makes You Beautiful,One Direction,boy band,2012,79,73,6,1,7,78
110,I Knew You Were Trouble.,Taylor Swift,pop,2012,47,62,3,0,4,77
111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,58,78,11,1,4,76
112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,68,86,7,8,5,76
113,Set Fire to the Rain,Adele,british soul,2012,68,61,13,0,3,76
114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,68,63,12,1,9,75
115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,94,56,11,5,5,74
116,Try,P!nk,dance pop,2012,63,67,9,0,3,74
117,Starships,Nicki Minaj,dance pop,2012,72,75,25,14,8,73
118,One More Night,Maroon 5,pop,2012,82,72,8,6,3,73
119,Good Time,Owl City,pop,2012,87,56,37,2,14,73
120,Glad You Came,The Wanted,boy band,2012,85,72,11,3,6,72
121,Beauty And A Beat,Justin Bieber,canadian pop,2012,84,60,7,0,6,72
122,International Love,Pitbull,dance pop,2012,86,67,34,1,5,72
123,Some Nights,fun.,baroque pop,2012,74,67,9,2,5,72
124,Boyfriend,Justin Bieber,canadian pop,2012,55,72,13,4,5,71
125,Part Of Me,Katy Perry,dance pop,2012,92,68,7,0,4,71
126,Domino,Jessie J,australian pop,2012,55,76,4,1,3,69
127,Where Have You Been,Rihanna,barbadian pop,2012,85,72,22,0,9,68
128,Wide Awake,Katy Perry,dance pop,2012,68,51,39,7,4,68
129,The One That Got Away,Katy Perry,dance pop,2012,80,69,16,0,4,67
130,Dance Again,Jennifer Lopez,dance pop,2012,86,79,10,2,7,66
131,Turn Up the Music,Chris Brown,dance pop,2012,84,59,16,0,10,65
132,Lights - Single Version,Ellie Goulding,dance pop,2012,80,68,13,3,4,65
133,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,64,38,8,2,8,63
134,Diamonds,Rihanna,barbadian pop,2012,71,56,11,0,5,61
