id,title,artist,top genre,year,energy,danceability,liveness,acousticness,speechiness,pop
351,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,85,68,6,1,6,50
352,We Are Here,Alicia Keys,hip pop,2015,67,64,8,43,4,49
353,St Jude,Florence + The Machine,art pop,2015,43,26,11,75,3,47
354,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,78,57,33,2,3,46
355,Time of Our Lives,Pitbull,dance pop,2015,80,72,69,9,6,45
356,Sparks,Hilary Duff,dance pop,2015,88,85,10,4,6,44
357,Mr. Put It Down,Ricky Martin,dance pop,2015,78,80,4,1,18,42
358,Legendary Lovers,Katy Perry,dance pop,2015,84,62,8,2,8,41
359,Spark The Fire,Gwen Stefani,dance pop,2015,80,88,20,8,6,39
360,Run Run Run,Kelly Clarkson,dance pop,2015,37,28,11,45,4,36
361,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,90,72,6,1,13,34
362,Dangerous,Jennifer Hudson,dance pop,2015,53,90,8,0,5,18
363,L.A.LOVE (la la),Fergie,dance pop,2015,39,48,26,2,9,0
364,The Hills,The Weeknd,canadian contemporary r&b,2016,56,58,14,7,5,84
365,Love Yourself,Justin Bieber,canadian pop,2016,38,61,28,84,44,83
366,Cake By The Ocean,DNCE,dance pop,2016,75,77,4,15,5,81
367,Don't Let Me Down,The Chainsmokers,electropop,2016,87,53,14,16,17,81
368,In the Name of Love,Martin Garrix,big room,2016,52,50,45,11,4,81
369,Into You,Ariana Grande,dance pop,2016,73,62,14,2,11,80
370,This Is What You Came For,Calvin Harris,dance pop,2016,93,63,15,20,3,80
371,Million Reasons,Lady Gaga,dance pop,2016,42,67,11,49,4,80
372,Needed Me,Rihanna,barbadian pop,2016,31,67,8,11,24,80
373,7 Years,Lukas Graham,danish pop,2016,47,77,39,29,5,80
374,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,83,67,19,1,7,79
375,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,59,80,6,10,4,79
376,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,74,57,11,3,13,79
377,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,53,63,18,40,4,79
378,Work,Rihanna,barbadian pop,2016,53,73,9,8,9,78
379,Stitches,Shawn Mendes,canadian pop,2016,75,75,5,2,7,78
380,"Me, Myself & I",G-Eazy,hip hop,2016,67,76,16,2,10,78
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,71,66,8,4,11,78
382,Dangerous Woman,Ariana Grande,dance pop,2016,60,66,36,5,4,78
383,Starving,Hailee Steinfeld,dance pop,2016,62,73,11,38,6,78
384,Shout Out to My Ex,Little Mix,dance pop,2016,75,77,11,2,9,77
385,Electric Love,BØRNS,electropop,2016,80,61,26,1,5,76
386,Confident,Demi Lovato,dance pop,2016,75,59,9,0,7,75
387,Too Good,Drake,canadian hip hop,2016,65,79,10,5,10,74
388,Roses,The Chainsmokers,electropop,2016,80,71,31,4,6,74
389,Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,80,61,16,7,4,73
390,Me Too,Meghan Trainor,dance pop,2016,69,93,48,10,10,73
391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,88,75,23,4,7,73
392,Ain't Your Mama,Jennifer Lopez,dance pop,2016,68,76,7,5,23,72
393,Close,Nick Jonas,dance pop,2016,62,65,14,25,8,72
394,Toothbrush,DNCE,dance pop,2016,79,55,47,12,13,72
395,All We Know,The Chainsmokers,electropop,2016,59,66,12,10,3,72
396,Final Song,MØ,dance pop,2016,67,70,8,1,3,72
397,Company,Justin Bieber,canadian pop,2016,80,59,8,13,6,72
398,Hands To Myself,Selena Gomez,dance pop,2016,50,81,34,1,12,71
399,All I Ask,Adele,british soul,2016,28,59,15,88,3,71
400,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,70,63,11,1,15,71
401,NO,Meghan Trainor,dance pop,2016,80,56,74,1,22,70
402,Kill Em With Kindness,Selena Gomez,dance pop,2016,88,76,10,1,4,70
403,Cool Girl,Tove Lo,dance pop,2016,69,67,8,31,11,69
404,Runnin' (Lose It All),Naughty Boy,tropical house,2016,85,32,48,1,8,69
405,Here,Alessia Cara,canadian contemporary r&b,2016,82,38,8,8,10,68
406,Perfect Illusion,Lady Gaga,dance pop,2016,86,61,36,0,4,67
407,PILLOWTALK,ZAYN,dance pop,2016,70,59,9,10,5,66
408,Out Of The Woods,Taylor Swift,pop,2016,84,55,34,0,4,66
409,Rise,Katy Perry,dance pop,2016,64,55,11,5,5,66
410,Wherever I Go,OneRepublic,dance pop,2016,69,55,27,9,4,66
411,Body Say,Demi Lovato,dance pop,2016,74,63,28,0,4,65
412,Don't Be A Fool,Shawn Mendes,canadian pop,2016,34,47,10,60,4,65
413,LIKE I WOULD,ZAYN,dance pop,2016,83,56,26,2,11,65
414,Cheap Thrills,Sia,australian dance,2016,80,59,8,6,22,64
415,I Got You,Bebe Rexha,dance pop,2016,89,61,9,5,5,64
416,Run Away With Me,Carly Rae Jepsen,canadian pop,2016,72,56,5,1,5,63
417,Cruel (feat. ZAYN),Snakehips,dance pop,2016,88,60,16,2,12,63
418,Send My Love (To Your New Lover),Adele,british soul,2016,52,69,17,4,10,61
419,WTF (Where They From),Missy Elliott,dance pop,2016,82,93,6,2,20,58
420,Desire,Years & Years,dance pop,2016,78,71,30,30,6,58
421,When We Were Young,Adele,british soul,2016,59,38,9,35,5,58
422,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,77,68,16,11,10,57
423,Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,57,37,13,72,3,57
424,Hurts,Emeli Sandé,dance pop,2016,64,58,15,2,3,57
425,Change,Christina Aguilera,dance pop,2016,54,62,13,68,8,54
426,Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,70,70,22,16,10,53
427,Keeping Your Head Up,Birdy,neo mellow,2016,78,60,19,16,5,52
428,True Colors,Zedd,complextro,2016,79,57,10,40,4,51
429,Make Me Like You,Gwen Stefani,dance pop,2016,71,74,13,4,5,50
430,Champagne Problems,Nick Jonas,dance pop,2016,78,73,9,0,13,50
431,Blown,DNCE,dance pop,2016,95,63,10,0,4,48
432,Start,John Legend,neo mellow,2016,4,52,9,99,4,47
433,Pep Rally,Missy Elliott,dance pop,2016,75,83,20,22,12,47
434,Higher,Carly Rae Jepsen,canadian pop,2016,87,65,37,1,6,46
435,Invitation,Britney Spears,dance pop,2016,65,37,9,3,11,44
436,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,69,75,13,26,4,41
437,Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,17,39,11,91,3,36
438,Little Lies,Hilary Duff,dance pop,2016,76,57,4,0,6,36
439,Do You Wanna Come Over?,Britney Spears,dance pop,2016,70,75,11,1,7,34
440,BURNITUP!,Janet Jackson,dance pop,2016,71,83,31,5,18,31
441,Picky - Remix,Joey Montana,latin,2016,81,70,37,9,7,29
442,Behind Your Back,Nelly Furtado,canadian latin,2016,47,80,7,25,4,18
443,Million Years Ago,Adele,british soul,2016,0,0,0,0,0,0
444,Shape of You,Ed Sheeran,pop,2017,65,83,9,58,8,87
445,Closer,The Chainsmokers,electropop,2017,52,75,11,41,3,86
446,Starboy,The Weeknd,canadian contemporary r&b,2017,59,68,14,14,28,85
447,Treat You Better,Shawn Mendes,canadian pop,2017,82,44,11,11,34,84
448,That's What I Like,Bruno Mars,pop,2017,56,85,9,1,4,83
449,Let Me Love You,DJ Snake,electronic trap,2017,72,65,14,9,3,82
450,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,82,77,7,43,12,81
451,Mercy,Shawn Mendes,canadian pop,2017,66,56,11,13,8,81
452,Side To Side,Ariana Grande,dance pop,2017,74,65,24,5,23,80
453,Stay,Zedd,complextro,2017,62,69,12,25,6,80
454,It Ain't Me (with Selena Gomez),Kygo,edm,2017,53,64,9,12,7,79
455,Malibu,Miley Cyrus,dance pop,2017,78,57,8,8,6,78
456,Something Just Like This,The Chainsmokers,electropop,2017,65,61,17,3,4,78
457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,76,72,18,41,5,78
458,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,45,74,33,6,6,78
459,My Way,Calvin Harris,dance pop,2017,91,82,16,9,4,78
460,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,67,61,17,6,4,77
461,Praying,Kesha,dance pop,2017,39,58,11,49,3,77
462,Despacito - Remix,Luis Fonsi,latin,2017,82,65,10,23,17,76
463,The Greatest,Sia,australian dance,2017,73,67,6,1,27,76
464,There for You,Martin Garrix,big room,2017,64,61,12,12,6,76
465,Paris,The Chainsmokers,electropop,2017,64,65,9,2,3,76
466,Crying in the Club,Camila Cabello,dance pop,2017,62,33,16,33,38,75
467,Mama,Jonas Blue,dance pop,2017,79,74,5,10,4,75
468,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,80,74,25,50,5,75
469,Swish Swish,Katy Perry,dance pop,2017,71,84,10,2,4,73
470,Chained To The Rhythm,Katy Perry,dance pop,2017,80,45,20,8,17,72
471,Cold (feat. Future),Maroon 5,pop,2017,72,69,5,14,11,72
472,Love,Lana Del Rey,art pop,2017,37,53,11,49,3,72
473,Reggaetón Lento (Remix),CNCO,boy band,2017,91,53,10,15,9,71
474,All I Ask,Adele,british soul,2017,28,59,15,88,3,71
475,First Time,Kygo,edm,2017,59,63,10,20,11,71
476,The Cure,Lady Gaga,dance pop,2017,51,70,9,8,3,71
477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,54,31,7,16,35,71
478,Bodak Yellow,Cardi B,pop,2017,72,93,35,7,11,70
479,Rich Love (with Seeb),OneRepublic,dance pop,2017,87,40,36,17,31,70
480,Tired,Alan Walker,electro house,2017,88,69,15,4,6,70
481,Came Here for Love,Sigala,dance pop,2017,87,71,12,3,4,70
482,24K Magic,Bruno Mars,pop,2017,80,82,15,3,8,69
483,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,50,87,8,20,5,69
484,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,91,71,30,1,6,69
485,OK - Spotify Version,Robin Schulz,dance pop,2017,81,65,13,12,6,69
486,Bon appétit,Katy Perry,dance pop,2017,79,80,22,13,6,68
487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,57,76,20,2,13,67
488,Get Low (with Liam Payne),Zedd,complextro,2017,93,72,5,3,5,66
489,Kissing Strangers,DNCE,dance pop,2017,74,77,9,5,4,66
490,Slow Hands,Niall Horan,dance pop,2017,42,74,6,1,5,64
491,Younger Now,Miley Cyrus,dance pop,2017,87,55,14,0,6,62
492,Body Moves,DNCE,dance pop,2017,69,65,4,0,4,62
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,64,73,8,2,4,59
494,Angel,Fifth Harmony,dance pop,2017,53,74,35,0,4,59
495,Touch (feat. Kid Ink),Little Mix,dance pop,2017,75,64,49,4,11,59
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,82,70,45,49,22,59
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,50,37,20,6,12,59
498,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,76,69,14,8,4,57
499,Rich Boy,Galantis,big room,2017,90,74,8,7,5,55
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,67,51,36,58,6,54
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,83,70,36,28,27,54
502,Influence,Tove Lo,dance pop,2017,59,77,11,10,5,54
503,Remember I Told You,Nick Jonas,dance pop,2017,53,68,4,14,28,53
504,Messin' Around,Pitbull,dance pop,2017,81,57,4,2,5,51
505,Water Under the Bridge,Adele,british soul,2017,84,60,11,2,7,49
506,Free Me,Sia,australian dance,2017,46,27,14,85,3,44
507,Kissing Strangers - Remix,DNCE,dance pop,2017,77,76,8,8,5,43
508,A L I E N S,Coldplay,permanent wave,2017,88,43,21,0,4,41
509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,86,79,8,4,11,86
510,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,52,77,13,18,3,85
511,I Like It,Cardi B,pop,2018,73,82,37,10,13,85
512,New Rules,Dua Lipa,dance pop,2018,70,76,15,0,7,84
513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,81,87,8,38,6,84
514,no tears left to cry,Ariana Grande,dance pop,2018,71,70,29,4,6,84
515,IDGAF,Dua Lipa,dance pop,2018,54,84,8,4,9,84
516,In My Blood,Shawn Mendes,canadian pop,2018,71,62,13,6,7,83
517,Wolves,Selena Gomez,dance pop,2018,80,72,20,12,4,83
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,44,26,11,10,4,83
519,Attention,Charlie Puth,dance pop,2018,61,78,13,11,5,83
520,Electricity (with Dua Lipa),Silk City,edm,2018,67,59,34,1,5,82
521,Love On The Brain,Rihanna,barbadian pop,2018,64,51,8,7,5,82
522,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,71,66,8,3,5,82
523,Silence,Marshmello,brostep,2018,76,52,17,26,9,82
524,Sorry Not Sorry,Demi Lovato,dance pop,2018,64,71,26,2,23,81
525,Shallow - Radio Edit,Lady Gaga,dance pop,2018,33,57,9,42,3,80
526,These Days,Rudimental,dance pop,2018,81,65,17,19,5,80
527,What Lovers Do (feat. SZA),Maroon 5,pop,2018,60,80,10,8,6,79
528,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,86,70,2,2,10,78
529,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,30,59,12,78,3,78
530,Bad At Love,Halsey,dance pop,2018,75,68,9,6,3,78
531,Him & I (with Halsey),G-Eazy,hip hop,2018,73,59,31,5,9,78
532,Friends (with BloodPop®),Justin Bieber,canadian pop,2018,73,74,30,0,4,77
533,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,67,67,12,3,7,76
534,My My My!,Troye Sivan,dance pop,2018,46,70,5,0,8,76
535,Capital Letters,Hailee Steinfeld,dance pop,2018,81,66,5,3,8,76
536,Sick Boy,The Chainsmokers,electropop,2018,58,66,12,11,5,76
537,Tequila,Dan + Shay,contemporary country,2018,59,47,13,3,3,76
538,Look What You Made Me Do,Taylor Swift,pop,2018,71,77,13,20,12,75
539,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,60,53,13,56,12,75
540,Bad Liar,Selena Gomez,dance pop,2018,41,97,8,19,7,75
541,Anywhere,Rita Ora,dance pop,2018,80,63,10,4,6,74
542,Say Something,Justin Timberlake,dance pop,2018,63,71,8,10,8,74
543,Chun-Li,Nicki Minaj,dance pop,2018,73,69,11,28,37,73
544,Sign of the Times,Harry Styles,dance pop,2018,57,52,11,3,3,72
545,Familiar,Liam Payne,dance pop,2018,81,64,8,2,33,72
546,Let Me,ZAYN,dance pop,2018,57,46,10,24,5,72
547,Supernova,Ansel Elgort,dance pop,2018,62,77,21,6,10,72
548,Nervous,Shawn Mendes,canadian pop,2018,62,84,13,4,8,71
549,First Time,Kygo,edm,2018,59,63,10,20,11,71
550,End Game,Taylor Swift,pop,2018,59,65,11,1,6,70
551,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,72,76,23,2,8,68
552,Lemon,N.E.R.D,hip hop,2018,73,92,12,0,9,68
553,For You (With Rita Ora),Liam Payne,dance pop,2018,80,54,42,2,3,67
554,Want To,Dua Lipa,dance pop,2018,69,57,6,8,12,67
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,79,63,16,5,6,67
556,Wait,Maroon 5,pop,2018,60,66,11,10,6,67
557,What About Us,P!nk,dance pop,2018,59,39,9,3,6,66
558,Kissing Strangers,DNCE,dance pop,2018,74,77,9,5,4,66
559,2U (feat. Justin Bieber),David Guetta,dance pop,2018,61,53,23,23,6,65
560,Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,44,48,64,81,24,65
561,This Town,Niall Horan,dance pop,2018,41,68,12,70,3,64
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,69,73,10,2,5,64
563,MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,87,76,7,3,5,64
564,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,64,75,11,25,9,64
565,Filthy,Justin Timberlake,dance pop,2018,58,75,25,4,14,62
566,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,69,63,12,16,9,57
567,Ferrari,Bebe Rexha,dance pop,2018,48,58,10,2,3,57
568,Supplies,Justin Timberlake,dance pop,2018,55,79,13,1,5,57
569,Boom Boom,RedOne,moroccan pop,2018,76,75,20,0,5,53
570,...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,84,58,10,13,22,52
571,Drip (feat. Migos),Cardi B,pop,2018,59,97,8,5,26,45
572,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,77,58,9,5,8,44
573,Memories,Maroon 5,pop,2019,32,76,8,84,5,99
574,Lose You To Love Me,Selena Gomez,dance pop,2019,34,51,21,58,4,97
575,Someone You Loved,Lewis Capaldi,pop,2019,41,50,11,75,3,96
576,Señorita,Shawn Mendes,canadian pop,2019,54,76,9,4,3,95
577,How Do You Sleep?,Sam Smith,pop,2019,68,48,8,15,9,93
578,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,62,86,9,15,8,92
579,Trampoline (with ZAYN),SHAED,electropop,2019,46,62,14,56,3,92
580,Happier,Marshmello,brostep,2019,79,69,17,19,5,90
581,Truth Hurts,Lizzo,escape room,2019,62,72,12,11,11,90
582,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,89,67,74,30,6,90
583,Higher Love,Kygo,edm,2019,68,69,10,2,3,88
584,Only Human,Jonas Brothers,boy band,2019,50,80,6,11,7,87
585,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,65,64,8,12,19,86
586,Sucker,Jonas Brothers,boy band,2019,73,84,11,4,6,86
587,Don't Call Me Up,Mabel,dance pop,2019,88,67,8,30,15,86
588,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,68,80,9,9,4,85
589,Talk (feat. Disclosure),Khalid,alternative r&b,2019,40,90,6,5,13,84
590,Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,89,81,8,2,4,84
591,Takeaway,The Chainsmokers,electropop,2019,51,53,10,13,3,83
592,All Around The World (La La La),R3HAB,big room,2019,86,73,11,48,3,82
593,Girls Like You (feat. Cardi B),Maroon 5,pop,2019,54,85,13,57,5,81
594,Call You Mine,The Chainsmokers,electropop,2019,70,59,34,20,3,81
595,No Guidance (feat. Drake),Chris Brown,dance pop,2019,45,70,16,12,15,81
596,Antisocial (with Travis Scott),Ed Sheeran,pop,2019,82,72,36,13,5,78
597,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,80,84,6,16,23,77
598,Con Calma - Remix,Daddy Yankee,latin,2019,87,74,4,17,5,76
599,Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,66,61,20,1,3,75
600,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,79,75,7,21,12,75
601,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,76,53,9,7,34,70
602,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,79,60,42,1,7,69
603,Kills You Slowly,The Chainsmokers,electropop,2019,44,70,13,6,6,67
